"Path","Key","Value"
"Windows Components\Data Collection and Preview Builds\Toggle user control over Insider builds","HKLM\Software\Policies\Microsoft\Windows\PreviewBuilds","AllowBuildPreview"
"Windows Components\Application Compatibility\Prevent access to 16-bit applications","HKLM\Software\Policies\Microsoft\Windows\AppCompat","VDMDisallowed"
"Windows Components\Application Compatibility\Remove Program Compatibility Property Page","HKLM\Software\Policies\Microsoft\Windows\AppCompat","DisablePropPage"
"Windows Components\Application Compatibility\Turn off Application Telemetry","HKLM\Software\Policies\Microsoft\Windows\AppCompat","AITEnable"
"Windows Components\Application Compatibility\Turn off SwitchBack Compatibility Engine","HKLM\Software\Policies\Microsoft\Windows\AppCompat","SbEnable"
"Windows Components\Application Compatibility\Turn off Application Compatibility Engine","HKLM\Software\Policies\Microsoft\Windows\AppCompat","DisableEngine"
"Windows Components\Application Compatibility\Turn off Program Compatibility Assistant","HKCU\Software\Policies\Microsoft\Windows\AppCompat","DisablePCA"
"Windows Components\Application Compatibility\Turn off Program Compatibility Assistant","HKLM\Software\Policies\Microsoft\Windows\AppCompat","DisablePCA"
"Windows Components\Application Compatibility\Turn off Steps Recorder","HKLM\Software\Policies\Microsoft\Windows\AppCompat","DisableUAR"
"Windows Components\Application Compatibility\Turn off Inventory Collector","HKLM\Software\Policies\Microsoft\Windows\AppCompat","DisableInventory"
"Windows Components\Windows Defender Application Guard\Turn on Windows Defender Application Guard in Enterprise Mode","HKLM\SOFTWARE\Policies\Microsoft\AppHVSI","AllowAppHVSI_ProviderSet"
"Windows Components\Windows Defender Application Guard\Configure Windows Defender Application Guard clipboard settings","HKLM\SOFTWARE\Policies\Microsoft\AppHVSI","AppHVSIClipboardSettings"
"Windows Components\Windows Defender Application Guard\Configure Windows Defender Application Guard print settings","HKLM\SOFTWARE\Policies\Microsoft\AppHVSI","AppHVSIPrintingSettings"
"Windows Components\Windows Defender Application Guard\Prevent enterprise websites from loading non-enterprise content in Microsoft Edge and Internet Explorer","HKLM\SOFTWARE\Policies\Microsoft\AppHVSI","BlockNonEnterpriseContent"
"Windows Components\Windows Defender Application Guard\Allow data persistence for Windows Defender Application Guard","HKLM\SOFTWARE\Policies\Microsoft\AppHVSI","AllowPersistence"
"Windows Components\Windows Defender Application Guard\Allow auditing events in Windows Defender Application Guard","HKLM\SOFTWARE\Policies\Microsoft\AppHVSI","AuditApplicationGuard"
"Windows Components\App Privacy\Let Windows apps access account information","HKLM\Software\Policies\Microsoft\Windows\AppPrivacy","LetAppsAccessAccountInfo"
"Windows Components\App Privacy\Let Windows apps access the calendar","HKLM\Software\Policies\Microsoft\Windows\AppPrivacy","LetAppsAccessCalendar"
"Windows Components\App Privacy\Let Windows apps access call history","HKLM\Software\Policies\Microsoft\Windows\AppPrivacy","LetAppsAccessCallHistory"
"Windows Components\App Privacy\Let Windows apps access the camera","HKLM\Software\Policies\Microsoft\Windows\AppPrivacy","LetAppsAccessCamera"
"Windows Components\App Privacy\Let Windows apps access contacts","HKLM\Software\Policies\Microsoft\Windows\AppPrivacy","LetAppsAccessContacts"
"Windows Components\App Privacy\Let Windows apps access email","HKLM\Software\Policies\Microsoft\Windows\AppPrivacy","LetAppsAccessEmail"
"Windows Components\App Privacy\Let Windows apps access location","HKLM\Software\Policies\Microsoft\Windows\AppPrivacy","LetAppsAccessLocation"
"Windows Components\App Privacy\Let Windows apps access messaging","HKLM\Software\Policies\Microsoft\Windows\AppPrivacy","LetAppsAccessMessaging"
"Windows Components\App Privacy\Let Windows apps access the microphone","HKLM\Software\Policies\Microsoft\Windows\AppPrivacy","LetAppsAccessMicrophone"
"Windows Components\App Privacy\Let Windows apps access motion","HKLM\Software\Policies\Microsoft\Windows\AppPrivacy","LetAppsAccessMotion"
"Windows Components\App Privacy\Let Windows apps access notifications","HKLM\Software\Policies\Microsoft\Windows\AppPrivacy","LetAppsAccessNotifications"
"Windows Components\App Privacy\Let Windows apps make phone calls","HKLM\Software\Policies\Microsoft\Windows\AppPrivacy","LetAppsAccessPhone"
"Windows Components\App Privacy\Let Windows apps control radios","HKLM\Software\Policies\Microsoft\Windows\AppPrivacy","LetAppsAccessRadios"
"Windows Components\App Privacy\Let Windows apps communicate with unpaired devices","HKLM\Software\Policies\Microsoft\Windows\AppPrivacy","LetAppsSyncWithDevices"
"Windows Components\App Privacy\Let Windows apps access Tasks","HKLM\Software\Policies\Microsoft\Windows\AppPrivacy","LetAppsAccessTasks"
"Windows Components\App Privacy\Let Windows apps access trusted devices","HKLM\Software\Policies\Microsoft\Windows\AppPrivacy","LetAppsAccessTrustedDevices"
"Windows Components\App Privacy\Let Windows apps run in the background","HKLM\Software\Policies\Microsoft\Windows\AppPrivacy","LetAppsRunInBackground"
"Windows Components\App Privacy\Let Windows apps access diagnostic information about other apps","HKLM\Software\Policies\Microsoft\Windows\AppPrivacy","LetAppsGetDiagnosticInfo"
"System\App-V\Enable App-V Client","HKLM\Software\Policies\Microsoft\AppV\Client","Enabled"
"System\App-V\Streaming\Package Installation Root","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","PackageInstallationRoot"
"System\App-V\Streaming\Specify what to load in background (aka AutoLoad)","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","Autoload"
"System\App-V\Streaming\Package Source Root","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","PackageSourceRoot"
"System\App-V\Streaming\Reestablishment Retries","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","ReestablishmentRetries"
"System\App-V\Streaming\Reestablishment Interval","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","ReestablishmentInterval"
"System\App-V\Streaming\Location Provider","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","LocationProvider"
"System\App-V\Streaming\Certificate Filter For Client SSL","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","CertFilterForClientSsl"
"System\App-V\Streaming\Verify certificate revocation list","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","VerifyCertificateRevocationList"
"System\App-V\Streaming\Shared Content Store (SCS) mode","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","SharedContentStoreMode"
"System\App-V\Streaming\Allow First Time Application Launches if on a High Cost Windows 8 Metered Connection","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","AllowHighCostLaunch"
"System\App-V\Streaming\Require Publish As Admin","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","RequirePublishAsAdmin"
"System\App-V\Streaming\Enable Support for BranchCache","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","SupportBranchCache"
"System\App-V\Reporting\Reporting Server","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Reporting","ReportingEnabled"
"System\App-V\Publishing\Publishing Server 1 Settings","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Publishing\Servers\1","Name"
"System\App-V\Publishing\Publishing Server 2 Settings","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Publishing\Servers\2","Name"
"System\App-V\Publishing\Publishing Server 3 Settings","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Publishing\Servers\3","Name"
"System\App-V\Publishing\Publishing Server 4 Settings","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Publishing\Servers\4","Name"
"System\App-V\Publishing\Publishing Server 5 Settings","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Publishing\Servers\5","Name"
"System\App-V\Publishing\Enable Publishing Refresh UX","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Publishing","EnablePublishingRefreshUI"
"System\App-V\Client Coexistence\Enable Migration Mode","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Coexistence","MigrationMode"
"System\App-V\Scripting\Enable Package Scripts","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Scripting","EnablePackageScripts"
"System\App-V\Integration\Roaming File Exclusions","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Integration","RoamingFileExclusions"
"System\App-V\Integration\Roaming Registry Exclusions","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Integration","RoamingRegistryExclusions"
"System\App-V\Integration\Integration Root User","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Integration","IntegrationRootUser"
"System\App-V\Integration\Integration Root Global","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Integration","IntegrationRootGlobal"
"System\App-V\CEIP\Microsoft Customer Experience Improvement Program (CEIP)","HKLM\SOFTWARE\Policies\Microsoft\AppV\CEIP","CEIPEnable"
"System\App-V\Virtualization\Virtual Component Process Allow List","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Virtualization","ProcessesUsingVirtualComponents"
"System\App-V\Virtualization\Enable Dynamic Virtualization","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\Virtualization","EnableDynamicVirtualization"
"System\App-V\PackageManagement\Enable automatic cleanup of unused appv packages","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\PackageManagement","AutoCleanupEnabled"
"System\App-V\PowerManagement\Enable background sync to server when on battery power","HKLM\SOFTWARE\Policies\Microsoft\AppV\Client\PowerManagement","SyncOnBatteriesEnabled"
"Windows Components\App Package Deployment\Allow all trusted apps to install","HKLM\Software\Policies\Microsoft\Windows\Appx","AllowAllTrustedApps"
"Windows Components\App Package Deployment\Allow deployment operations in special profiles","HKLM\Software\Policies\Microsoft\Windows\Appx","AllowDeploymentInSpecialProfiles"
"Windows Components\App Package Deployment\Allows development of Windows Store apps and installing them from an integrated development environment (IDE)","HKLM\Software\Policies\Microsoft\Windows\Appx","AllowDevelopmentWithoutDevLicense"
"Windows Components\App Package Deployment\Disable installing Windows apps on non-system volumes","HKLM\Software\Policies\Microsoft\Windows\Appx","RestrictAppToSystemVolume"
"Windows Components\App Package Deployment\Prevent users' app data from being stored on non-system volumes","HKLM\Software\Policies\Microsoft\Windows\Appx","RestrictAppDataToSystemVolume"
"Windows Components\App Package Deployment\Allow a Windows app to share application data between users","HKLM\Software\Policies\Microsoft\Windows\CurrentVersion\AppModel\StateManager","AllowSharedLocalAppData"
"Windows Components\App runtime\Block launching desktop apps associated with a file.","HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\Associations","BlockFileElevation"
"Windows Components\App runtime\Block launching desktop apps associated with a file.","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Associations","BlockFileElevation"
"Windows Components\App runtime\Block launching desktop apps associated with a URI scheme","HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\Associations","BlockProtocolElevation"
"Windows Components\App runtime\Block launching desktop apps associated with a URI scheme","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Associations","BlockProtocolElevation"
"Windows Components\App runtime\Allow Microsoft accounts to be optional","HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System","MSAOptional"
"Windows Components\App runtime\Turn on dynamic Content URI Rules for Windows store apps","HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\Packages\Applications","EnableDynamicContentUriRules"
"Windows Components\App runtime\Block launching Windows Store apps with Windows Runtime API access from hosted content.","HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System","BlockHostedAppAccessWinRT"
"Windows Components\Attachment Manager\Notify antivirus programs when opening attachments","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Attachments","ScanWithAntiVirus"
"Windows Components\Attachment Manager\Trust logic for file attachments","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Attachments","UseTrustedHandlers"
"Windows Components\Attachment Manager\Do not preserve zone information in file attachments","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Attachments","SaveZoneInformation"
"Windows Components\Attachment Manager\Hide mechanisms to remove zone information","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Attachments","HideZoneInfoOnProperties"
"Windows Components\Attachment Manager\Default risk level for file attachments","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Associations","DefaultFileTypeRisk"
"Windows Components\Attachment Manager\Inclusion list for high risk file types","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Associations","HighRiskFileTypes"
"Windows Components\Attachment Manager\Inclusion list for low file types","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Associations","LowRiskFileTypes"
"Windows Components\Attachment Manager\Inclusion list for moderate risk file types","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Associations","ModRiskFileTypes"
"System\Audit Process Creation\Include command line in process creation events","HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System\Audit","ProcessCreationIncludeCmdLine_Enabled"
"Windows Components\AutoPlay Policies\Set the default behavior for AutoRun","HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","NoAutorun"
"Windows Components\AutoPlay Policies\Set the default behavior for AutoRun","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","NoAutorun"
"Windows Components\AutoPlay Policies\Prevent AutoPlay from remembering user choices.","HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","DontSetAutoplayCheckbox"
"Windows Components\AutoPlay Policies\Prevent AutoPlay from remembering user choices.","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","DontSetAutoplayCheckbox"
"Windows Components\AutoPlay Policies\Turn off Autoplay","HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","NoDriveTypeAutoRun"
"Windows Components\AutoPlay Policies\Turn off Autoplay","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","NoDriveTypeAutoRun"
"Windows Components\AutoPlay Policies\Disallow Autoplay for non-volume devices","HKLM\Software\Policies\Microsoft\Windows\Explorer","NoAutoplayfornonVolume"
"Windows Components\AutoPlay Policies\Disallow Autoplay for non-volume devices","HKCU\Software\Policies\Microsoft\Windows\Explorer","NoAutoplayfornonVolume"
"Windows Components\Software Protection Platform\Turn off KMS Client Online AVS Validation","HKLM\Software\Policies\Microsoft\Windows NT\CurrentVersion\Software Protection Platform","NoGenTicket"
"Windows Components\Software Protection Platform\Control Device Reactivation for Retail devices","HKLM\Software\Policies\Microsoft\Windows NT\CurrentVersion\Software Protection Platform","AllowWindowsEntitlementReactivation"
"Windows Components\Biometrics\Allow the use of biometrics","HKLM\SOFTWARE\Policies\Microsoft\Biometrics","Enabled"
"Windows Components\Biometrics\Allow users to log on using biometrics","HKLM\SOFTWARE\Policies\Microsoft\Biometrics\Credential Provider","Enabled"
"Windows Components\Biometrics\Allow domain users to log on using biometrics","HKLM\SOFTWARE\Policies\Microsoft\Biometrics\Credential Provider","Domain"
"Windows Components\Biometrics\Specify timeout for fast user switching events","HKLM\SOFTWARE\Policies\Microsoft\Biometrics\Credential Provider","SwitchTimeoutInSeconds"
"Windows Components\Biometrics\Facial Features\Configure enhanced anti-spoofing","HKLM\SOFTWARE\Policies\Microsoft\Biometrics\FacialFeatures","EnhancedAntiSpoofing"
"Network\Background Intelligent Transfer Service (BITS)\Timeout for inactive BITS jobs","HKLM\Software\Policies\Microsoft\Windows\BITS","JobInactivityTimeout"
"Network\Background Intelligent Transfer Service (BITS)\Limit the maximum BITS job download time","HKLM\Software\Policies\Microsoft\Windows\BITS","MaxDownloadTime"
"Network\Background Intelligent Transfer Service (BITS)\Limit the maximum network bandwidth for BITS background transfers","HKLM\Software\Policies\Microsoft\Windows\BITS","EnableBITSMaxBandwidth"
"Network\Background Intelligent Transfer Service (BITS)\Set up a work schedule to limit the maximum network bandwidth used for BITS background transfers","HKLM\Software\Policies\Microsoft\Windows\BITS\Throttling","EnableBandwidthLimits"
"Network\Background Intelligent Transfer Service (BITS)\Set up a maintenance schedule to limit the maximum network bandwidth used for BITS background transfers","HKLM\Software\Policies\Microsoft\Windows\BITS\Throttling","EnableMaintenanceLimits"
"Network\Background Intelligent Transfer Service (BITS)\Allow BITS Peercaching","HKLM\Software\Policies\Microsoft\Windows\BITS","EnablePeercaching"
"Network\Background Intelligent Transfer Service (BITS)\Limit the age of files in the BITS Peercache","HKLM\Software\Policies\Microsoft\Windows\BITS","MaxContentAge"
"Network\Background Intelligent Transfer Service (BITS)\Limit the BITS Peercache size","HKLM\Software\Policies\Microsoft\Windows\BITS","MaxCacheSize"
"Network\Background Intelligent Transfer Service (BITS)\Do not allow the computer to act as a BITS Peercaching client","HKLM\Software\Policies\Microsoft\Windows\BITS","DisablePeerCachingClient"
"Network\Background Intelligent Transfer Service (BITS)\Do not allow the computer to act as a BITS Peercaching server","HKLM\Software\Policies\Microsoft\Windows\BITS","DisablePeerCachingServer"
"Network\Background Intelligent Transfer Service (BITS)\Limit the maximum network bandwidth used for Peercaching","HKLM\Software\Policies\Microsoft\Windows\BITS","MaxBandwidthServed"
"Network\Background Intelligent Transfer Service (BITS)\Set default download behavior for BITS jobs on costed networks","HKLM\Software\Policies\Microsoft\Windows\BITS\TransferPolicy","ForegroundTransferPolicy"
"Network\Background Intelligent Transfer Service (BITS)\Limit the maximum number of BITS jobs for this computer","HKLM\Software\Policies\Microsoft\Windows\BITS","MaxJobsPerMachine"
"Network\Background Intelligent Transfer Service (BITS)\Limit the maximum number of BITS jobs for each user","HKLM\Software\Policies\Microsoft\Windows\BITS","MaxJobsPerUser"
"Network\Background Intelligent Transfer Service (BITS)\Limit the maximum number of files allowed in a BITS job","HKLM\Software\Policies\Microsoft\Windows\BITS","MaxFilesPerJob"
"Network\Background Intelligent Transfer Service (BITS)\Limit the maximum number of ranges that can be added to the file in a BITS job","HKLM\Software\Policies\Microsoft\Windows\BITS","MaxRangesPerFile"
"Network\Background Intelligent Transfer Service (BITS)\Do not allow the BITS client to use Windows Branch Cache","HKLM\Software\Policies\Microsoft\Windows\BITS","DisableBranchCache"
"Windows Components\Camera\Allow Use of Camera","HKLM\software\Policies\Microsoft\Camera","AllowCamera"
"Windows Components\Windows Customer Experience Improvement Program\Allow Corporate redirection of Customer Experience Improvement uploads","HKLM\Software\Policies\Microsoft\SQMClient","CorporateSQMURL"
"Windows Components\Windows Customer Experience Improvement Program\Tag Windows Customer Experience Improvement data with Study Identifier","HKLM\Software\Policies\Microsoft\SQMClient\Windows","StudyId"
"Network\SSL Configuration Settings\SSL Cipher Suite Order","HKLM\SOFTWARE\Policies\Microsoft\Cryptography\Configuration\SSL\00010002","Functions"
"Network\SSL Configuration Settings\ECC Curve Order","HKLM\SOFTWARE\Policies\Microsoft\Cryptography\Configuration\SSL\00010002","EccCurves"
"Windows Components\Cloud Content\Configure Windows spotlight on lock screen","HKCU\Software\Policies\Microsoft\Windows\CloudContent","ConfigureWindowsSpotlight"
"Windows Components\Cloud Content\Turn off all Windows spotlight features","HKCU\Software\Policies\Microsoft\Windows\CloudContent","DisableWindowsSpotlightFeatures"
"Windows Components\Cloud Content\Do not use diagnostic data for tailored experiences","HKCU\Software\Policies\Microsoft\Windows\CloudContent","DisableTailoredExperiencesWithDiagnosticData"
"Windows Components\Cloud Content\Turn off Microsoft consumer experiences","HKLM\Software\Policies\Microsoft\Windows\CloudContent","DisableWindowsConsumerFeatures"
"Windows Components\Cloud Content\Do not show Windows tips","HKLM\Software\Policies\Microsoft\Windows\CloudContent","DisableSoftLanding"
"Windows Components\Cloud Content\Do not suggest third-party content in Windows spotlight","HKCU\Software\Policies\Microsoft\Windows\CloudContent","DisableThirdPartySuggestions"
"Windows Components\Cloud Content\Turn off the Windows Spotlight on Action Center","HKCU\Software\Policies\Microsoft\Windows\CloudContent","DisableWindowsSpotlightOnActionCenter"
"Windows Components\Cloud Content\Turn off the Windows Welcome Experience","HKCU\Software\Policies\Microsoft\Windows\CloudContent","DisableWindowsSpotlightWindowsWelcomeExperience"
"System\Download missing COM components","HKCU\Software\Policies\Microsoft\Windows\App Management","COMClassStore"
"System\Download missing COM components","HKLM\Software\Policies\Microsoft\Windows\App Management","COMClassStore"
"Windows Components\NetMeeting\Application Sharing\Disable application Sharing","HKCU\Software\Policies\Microsoft\Conferencing","NoAppSharing"
"Windows Components\NetMeeting\Application Sharing\Prevent Control","HKCU\Software\Policies\Microsoft\Conferencing","NoAllowControl"
"Windows Components\NetMeeting\Application Sharing\Prevent Sharing","HKCU\Software\Policies\Microsoft\Conferencing","NoSharing"
"Windows Components\NetMeeting\Application Sharing\Prevent Sharing Command Prompts","HKCU\Software\Policies\Microsoft\Conferencing","NoSharingDosWindows"
"Windows Components\NetMeeting\Application Sharing\Prevent Desktop Sharing","HKCU\Software\Policies\Microsoft\Conferencing","NoSharingDesktop"
"Windows Components\NetMeeting\Application Sharing\Prevent Sharing Explorer windows","HKCU\Software\Policies\Microsoft\Conferencing","NoSharingExplorer"
"Windows Components\NetMeeting\Application Sharing\Prevent Application Sharing in true color","HKCU\Software\Policies\Microsoft\Conferencing","NoTrueColorSharing"
"Windows Components\NetMeeting\Audio & Video\Disable Audio","HKCU\Software\Policies\Microsoft\Conferencing","NoAudio"
"Windows Components\NetMeeting\Audio & Video\Prevent changing DirectSound Audio setting","HKCU\Software\Policies\Microsoft\Conferencing","NoChangeDirectSound"
"Windows Components\NetMeeting\Audio & Video\Disable full duplex Audio","HKCU\Software\Policies\Microsoft\Conferencing","NoFullDuplex"
"Windows Components\NetMeeting\Audio & Video\Prevent receiving Video","HKCU\Software\Policies\Microsoft\Conferencing","NoReceivingVideo"
"Windows Components\NetMeeting\Audio & Video\Prevent sending Video","HKCU\Software\Policies\Microsoft\Conferencing","NoSendingVideo"
"Windows Components\NetMeeting\Audio & Video\Limit the bandwidth of Audio and Video","HKCU\Software\Policies\Microsoft\Conferencing","MaximumBandwidth"
"Windows Components\NetMeeting\Allow persisting automatic acceptance of Calls","HKCU\Software\Policies\Microsoft\Conferencing","PersistAutoAcceptCalls"
"Windows Components\NetMeeting\Disable Chat","HKCU\Software\Policies\Microsoft\Conferencing","NoChat"
"Windows Components\NetMeeting\Disable Whiteboard","HKCU\Software\Policies\Microsoft\Conferencing","NoNewWhiteBoard"
"Windows Components\NetMeeting\Disable NetMeeting 2.x Whiteboard","HKCU\Software\Policies\Microsoft\Conferencing","NoOldWhiteBoard"
"Windows Components\NetMeeting\Disable remote Desktop Sharing","HKLM\Software\Policies\Microsoft\Conferencing","NoRDS"
"Windows Components\NetMeeting\Enable Automatic Configuration","HKCU\Software\Policies\Microsoft\Conferencing","Use"
"Windows Components\NetMeeting\Prevent adding Directory servers","HKCU\Software\Policies\Microsoft\Conferencing","NoAddingDirectoryServers"
"Windows Components\NetMeeting\Prevent automatic acceptance of Calls","HKCU\Software\Policies\Microsoft\Conferencing","NoAutoAcceptCalls"
"Windows Components\NetMeeting\Prevent changing Call placement method","HKCU\Software\Policies\Microsoft\Conferencing","NoChangingCallMode"
"Windows Components\NetMeeting\Disable Directory services","HKCU\Software\Policies\Microsoft\Conferencing","NoDirectoryServices"
"Windows Components\NetMeeting\Prevent receiving files","HKCU\Software\Policies\Microsoft\Conferencing","NoReceivingFiles"
"Windows Components\NetMeeting\Prevent sending files","HKCU\Software\Policies\Microsoft\Conferencing","NoSendingFiles"
"Windows Components\NetMeeting\Prevent viewing Web directory","HKCU\Software\Policies\Microsoft\Conferencing","NoWebDirectory"
"Windows Components\NetMeeting\Limit the size of sent files","HKCU\Software\Policies\Microsoft\Conferencing","MaxFileSendSize"
"Windows Components\NetMeeting\Set the intranet support Web page","HKCU\Software\Policies\Microsoft\Conferencing","IntranetSupportURL"
"Windows Components\NetMeeting\Set Call Security options","HKCU\Software\Policies\Microsoft\Conferencing","CallSecurity"
"Windows Components\NetMeeting\Options Page\Disable the Advanced Calling button","HKCU\Software\Policies\Microsoft\Conferencing","NoAdvancedCalling"
"Windows Components\NetMeeting\Options Page\Hide the Audio page","HKCU\Software\Policies\Microsoft\Conferencing","NoAudioPage"
"Windows Components\NetMeeting\Options Page\Hide the General page","HKCU\Software\Policies\Microsoft\Conferencing","NoGeneralPage"
"Windows Components\NetMeeting\Options Page\Hide the Security page","HKCU\Software\Policies\Microsoft\Conferencing","NoSecurityPage"
"Windows Components\NetMeeting\Options Page\Hide the Video page","HKCU\Software\Policies\Microsoft\Conferencing","NoVideoPage"
"Control Panel\Hide specified Control Panel items","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","DisallowCpl"
"Control Panel\Always open All Control Panel Items when opening Control Panel","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","ForceClassicControlPanel"
"Control Panel\Prohibit access to Control Panel and PC settings","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","NoControlPanel"
"Control Panel\Show only specified Control Panel items","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","RestrictCpl"
"Control Panel\Settings Page Visibility","HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","SettingsPageVisibility"
"Control Panel\Allow Online Tips","HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","AllowOnlineTips"
"Control Panel\Display\Disable the Display Control Panel","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\System","NoDispCPL"
"Control Panel\Display\Hide Settings tab","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\System","NoDispSettingsPage"
"Control Panel\Personalization\Prevent changing color and appearance","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\System","NoDispAppearancePage"
"Control Panel\Personalization\Prevent changing screen saver","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\System","NoDispScrSavPage"
"Control Panel\Personalization\Enable screen saver","HKCU\Software\Policies\Microsoft\Windows\Control Panel\Desktop","ScreenSaveActive"
"Control Panel\Personalization\Force specific screen saver","HKCU\Software\Policies\Microsoft\Windows\Control Panel\Desktop","SCRNSAVE.EXE"
